step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
338,0.31145891547203064,0.8489583134651184,,,,,,,,2025-09-11T18:23:33.8520000Z
339,0.2595099210739136,0.8697916865348816,,,,,,,,2025-09-11T18:23:34.8040000Z
340,0.29254987835884094,0.8645833134651184,,0.3287879228591919,0.828125,,,,,2025-09-11T18:23:39.5870000Z
341,0.32464873790740967,0.8541666865348816,,,,,,,,2025-09-11T18:23:41.4990000Z
342,0.25682827830314636,0.9010416865348816,,,,,,,,2025-09-11T18:23:42.7430000Z
343,0.28168630599975586,0.875,,,,,,,,2025-09-11T18:23:43.9900000Z
344,0.26812127232551575,0.84375,,,,,,,,2025-09-11T18:23:45.2310000Z
345,0.2741403877735138,0.8802083134651184,,,,,,,,2025-09-11T18:23:46.4740000Z
346,0.32373762130737305,0.84375,,,,,,,,2025-09-11T18:23:47.7330000Z
347,0.2782418429851532,0.890625,,,,,,,,2025-09-11T18:23:48.9870000Z
348,0.22167746722698212,0.921875,,,,,,,,2025-09-11T18:23:50.2430000Z
349,0.288559228181839,0.859375,,,,,,,,2025-09-11T18:23:51.5010000Z
350,0.3086775243282318,0.8541666865348816,,0.2781419555346171,0.8802083333333334,,,,,2025-09-11T18:23:55.9460000Z
351,0.2885441482067108,0.875,,,,,,,,2025-09-11T18:23:58.1490000Z
352,0.2940925359725952,0.859375,,,,,,,,2025-09-11T18:23:59.1110000Z
353,0.24264128506183624,0.8854166865348816,,,,,,,,2025-09-11T18:24:00.3650000Z
354,0.2747993767261505,0.8802083134651184,,,,,,,,2025-09-11T18:24:01.6230000Z
355,0.32670858502388,0.8385416865348816,,,,,,,,2025-09-11T18:24:02.8740000Z
356,0.28906121850013733,0.8645833134651184,,,,,,,,2025-09-11T18:24:04.1270000Z
357,0.267645001411438,0.8697916865348816,,,,,,,,2025-09-11T18:24:05.3690000Z
358,0.3227027654647827,0.828125,,,,,,,,2025-09-11T18:24:06.6160000Z
359,0.2904767692089081,0.84375,,,,,,,,2025-09-11T18:24:07.8600000Z
